epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.1336,2.72812,4.25396,1.59268,0.71055,0.11769,0.14431,0.05629,2.59555,2.93577,1.33596,0.000183178,0.000183178,0.000183178
2,125.632,2.44899,2.72434,1.38288,0.44723,0.25425,0.24612,0.10424,2.41502,2.18478,1.33624,0.000332029,0.000332029,0.000332029
3,181.406,2.37098,2.40124,1.35408,0.63021,0.28897,0.28971,0.12799,2.32755,2.06961,1.29696,0.000444184,0.000444184,0.000444184
4,237.304,2.30736,2.2249,1.3196,0.43623,0.32247,0.30738,0.13816,2.2729,1.84731,1.27733,0.000390868,0.000390868,0.000390868
5,292.528,2.25596,2.05164,1.30655,0.53489,0.32407,0.33068,0.15083,2.25403,1.78356,1.26534,0.000335824,0.000335824,0.000335824
6,353.217,2.21813,1.9821,1.29364,0.47194,0.35989,0.33474,0.15102,2.21083,1.68841,1.28411,0.00028078,0.00028078,0.00028078
7,408.379,2.18646,1.90702,1.27768,0.56607,0.37022,0.35724,0.16303,2.1915,1.64322,1.25278,0.000225736,0.000225736,0.000225736
8,463.4,2.16205,1.84916,1.25884,0.53448,0.37433,0.36823,0.17085,2.16034,1.59364,1.23341,0.000170692,0.000170692,0.000170692
9,518.08,2.12867,1.79197,1.24913,0.55235,0.37966,0.37202,0.17227,2.16584,1.59289,1.22898,0.000115648,0.000115648,0.000115648
